,Price,Address,Locality,Beds,Area,Full Baths,Half Baths,Lot Size
0,"$725,000",0 Gateway,"Rock Springs, WY 82901",,,,,
1,"$452,900",1003 Winchester Blvd.,"Rock Springs, WY 82901",4,,4,,0.21 Acres
2,"$396,900",600 Talladega,"Rock Springs, WY 82901",5,"3,154",3,,
3,"$389,900",3239 Spearhead Way,"Rock Springs, WY 82901",4,"3,076",3,1,"Under 1/2 Acre, "
4,"$254,000",522 Emerald Street,"Rock Springs, WY 82901",3,"1,172",3,,"Under 1/2 Acre, "
5,"$252,900",1302 Veteran's Drive,"Rock Springs, WY 82901",4,"1,932",2,,0.27 Acres
6,"$210,000",1021 Cypress Cir,"Rock Springs, WY 82901",4,"1,676",3,,"Under 1/2 Acre, "
7,"$209,000",913 Madison Dr,"Rock Springs, WY 82901",3,"1,344",2,,"Under 1/2 Acre, "
8,"$199,900",1344 Teton Street,"Rock Springs, WY 82901",3,"1,920",2,,"Under 1/2 Acre, "
9,"$196,900",4 Minnies Lane,"Rock Springs, WY 82901",3,"1,664",2,,2.02 Acres
10,"$725,000",0 Gateway,"Rock Springs, WY 82901",,,,,
11,"$452,900",1003 Winchester Blvd.,"Rock Springs, WY 82901",4,,4,,0.21 Acres
12,"$396,900",600 Talladega,"Rock Springs, WY 82901",5,"3,154",3,,
13,"$389,900",3239 Spearhead Way,"Rock Springs, WY 82901",4,"3,076",3,1,"Under 1/2 Acre, "
14,"$254,000",522 Emerald Street,"Rock Springs, WY 82901",3,"1,172",3,,"Under 1/2 Acre, "
15,"$252,900",1302 Veteran's Drive,"Rock Springs, WY 82901",4,"1,932",2,,0.27 Acres
16,"$210,000",1021 Cypress Cir,"Rock Springs, WY 82901",4,"1,676",3,,"Under 1/2 Acre, "
17,"$209,000",913 Madison Dr,"Rock Springs, WY 82901",3,"1,344",2,,"Under 1/2 Acre, "
18,"$199,900",1344 Teton Street,"Rock Springs, WY 82901",3,"1,920",2,,"Under 1/2 Acre, "
19,"$196,900",4 Minnies Lane,"Rock Springs, WY 82901",3,"1,664",2,,2.02 Acres
20,"$725,000",0 Gateway,"Rock Springs, WY 82901",,,,,
21,"$452,900",1003 Winchester Blvd.,"Rock Springs, WY 82901",4,,4,,0.21 Acres
22,"$396,900",600 Talladega,"Rock Springs, WY 82901",5,"3,154",3,,
23,"$389,900",3239 Spearhead Way,"Rock Springs, WY 82901",4,"3,076",3,1,"Under 1/2 Acre, "
24,"$254,000",522 Emerald Street,"Rock Springs, WY 82901",3,"1,172",3,,"Under 1/2 Acre, "
25,"$252,900",1302 Veteran's Drive,"Rock Springs, WY 82901",4,"1,932",2,,0.27 Acres
26,"$210,000",1021 Cypress Cir,"Rock Springs, WY 82901",4,"1,676",3,,"Under 1/2 Acre, "
27,"$209,000",913 Madison Dr,"Rock Springs, WY 82901",3,"1,344",2,,"Under 1/2 Acre, "
28,"$199,900",1344 Teton Street,"Rock Springs, WY 82901",3,"1,920",2,,"Under 1/2 Acre, "
29,"$196,900",4 Minnies Lane,"Rock Springs, WY 82901",3,"1,664",2,,2.02 Acres
